ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
3bcc0b26435887a38a7150266563a475	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Articulospora	 Articulospora_sp
b0cca21ff36cc16cac47057e40c43c40	Fungi	 Ascomycota	 Leotiomycetes				
11f26ba97a3f8b28b7deb751adfaad92	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora_sp
c7784ccf3da0ee27cee80f5bc43dbcf2	Fungi	 Basidiomycota	 Exobasidiomycetes	 Exobasidiales	 Exobasidiaceae	 Exobasidium	 Exobasidium_maculosum
30e3993a5b55c2738bf6bb339739a363	Fungi	 Basidiomycota	 Agaricomycetes	 Atheliales	 Tylosporaceae	 Amphinema	 Amphinema_sp
ee2382481d5aa6aa23cabd468d6b6046	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Meliniomyces	 Meliniomyces_sp
87bea328287363134ceea2a80cffda82	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Mollisiaceae	 Phialocephala	 Phialocephala_helvetica
f6a80d7541fbe3cb23587569c6c63b2b	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Cladophialophora	 Cladophialophora_sp
3f31af72aed115aca01c756c929a1840	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Clavariaceae	 Ramariopsis	 Ramariopsis_sp
49ce214875f568699d4e805576fdec4f	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Hyaloscypha	 Hyaloscypha_variabilis
6b09dbaebf096e2c2e138017e964e6c5	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
ca1e286fc2ac734c1859daf98873f014	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Capronia	 Capronia_sp
fa70673804bc8fa9d6369e2cf0916bc9	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
6995459e615ec12ae432e78506823cd5	Fungi	 Rozellomycota	 Rozellomycotina_cls_Incertae_sedis	 GS05	 GS05_fam_Incertae_sedis	 GS05_gen_Incertae_sedis	 GS05_sp
8ce2e2a2ab5513543b7cda3b0734c53b	Fungi	 Ascomycota	 Pezizomycotina_cls_Incertae_sedis	 Pezizomycotina_ord_Incertae_sedis	 Pezizomycotina_fam_Incertae_sedis	 Pezizomycotina_gen_Incertae_sedis	 Pezizomycotina_sp
ab4d170cdd6ca69299badb642daee622	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Capronia	 Capronia_sp
7a0ba09fd1a43ec74ae669757baab30f	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Gorgoniceps	 Gorgoniceps_sp
819378b359e546468c15fb535f01624c	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
c4d53f535a6ce1d37276b657b7782ecd	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Mycenaceae	 Mycena	
241150c7b9f4564f3d669f8f9064fa8b	Fungi	 Ascomycota	 Archaeorhizomycetes	 Archaeorhizomycetales	 Archaeorhizomycetaceae	 Archaeorhizomyces	 Archaeorhizomyces_sp
633dab1c846b0f4dc722c1fbb473f18a	Fungi	 Mucoromycota	 Umbelopsidomycetes	 Umbelopsidales	 Umbelopsidaceae	 Umbelopsis	 Umbelopsis_sp
d34c7dd2fa2be1546aa8822bd2f3a4e1	Fungi	 Ascomycota	 Leotiomycetes	 Thelebolales	 Pseudeurotiaceae	 Pseudogymnoascus	 Pseudogymnoascus_sp
6ae30978457535363ae053c3a412e25a	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Tremellales_fam_Incertae_sedis	 Tremellales_gen_Incertae_sedis	 Tremellales_sp
