	observed_features	chao1	shannon_entropy	pielou_evenness	faith_pd
DT09-PM03-S-16s-2022	148	148.3	6.693654883	0.928455258	22.62548666
DT09-PM04-S-16s-2022	76	76.6	5.592458315	0.89509014	13.40576121
DT09-PM06-S-16s-2022	85	85.33333333	5.196745341	0.810801743	18.30011729
DT09-PM10-S-16s-2022	76	76	5.230009554	0.837079102	16.6373747
DT10-PM02-S-16s-2022	246	259.0434783	6.903153802	0.86913959	43.73524868
DT10-PM04-S-16s-2022	275	282.6	7.140301032	0.881160981	44.84470699
DT10-PM05-S-16s-2022	217	225.5714286	6.722823039	0.866170027	40.54282168
DT10-PM06-S-16s-2022	147	149.8125	6.053413137	0.840790087	29.22796431
DT10-PM07-S-16s-2022	190	198.6666667	6.718940604	0.887591647	34.93042506
DT10-PM08-S-16s-2022	154	155.5	6.274504207	0.863449638	31.29739427
DT10-PM09-S-16s-2022	252	265.5882353	7.094118013	0.889290345	42.01687051
NT04-PM04-S-16s-2022	196	198.1176471	6.828106487	0.896699497	31.8971329
NT04-PM08-S-16s-2022	175	177.5454545	6.486464234	0.870524823	33.88508367
NT04-PM09-S-16s-2022	153	158.1428571	6.46618569	0.890979762	29.1203904
NT04-PM10-S-16s-2022	215	216.6153846	7.193426304	0.928400524	27.56278605
NT05-PM01-S-16s-2022	131	131.2	6.31637556	0.898051427	22.0938509
NT05-PM02-S-16s-2022	224	232	7.114106084	0.911205672	36.54704152
NT05-PM03-S-16s-2022	172	173.1111111	6.756007285	0.909745008	30.05879614
NT05-PM05-S-16s-2022	162	166.2307692	6.519432255	0.888224181	28.85468512
NT05-PM06-S-16s-2022	261	262.1666667	7.586153937	0.944972941	37.10286028
NT05-PM07-S-16s-2022	165	167.625	6.728567863	0.913422963	26.69503927
DT01-PM03-RH-16s-2022	48	48	4.966161378	0.889202278	10.30793814
DT01-PM07-RH-16s-2022	60	60	4.523409631	0.76578524	13.25588936
DT01-PM08-RH-16s-2022	161	161	6.696864628	0.91350983	22.74883397
DT01-PM09-RH-16s-2022	89	89.5	5.749575721	0.887864793	18.2771151
DT01-PM10-RH-16s-2022	102	102.2	5.721793742	0.857528327	18.31613556
DT04-PM01-RH-16s-2022	63	64	5.331776476	0.892007158	11.39915216
DT04-PM03-RH-16s-2022	237	243.875	7.210472689	0.914020454	32.6108582
DT04-PM04-RH-16s-2022	106	111	6.057463216	0.900347033	16.6850722
DT04-PM05-RH-16s-2022	139	140	6.068294261	0.852415296	24.74830771
DT04-PM06-RH-16s-2022	125	125.5	6.099112633	0.875581612	21.60781065
DT04-PM07-RH-16s-2022	182	193.25	6.881503385	0.916581195	22.17807542
DT04-PM08-RH-16s-2022	161	162.25	6.686701195	0.91212345	23.3653194
DT04-PM09-RH-16s-2022	205	210	6.873812509	0.895088264	29.22258207
DT04-PM10-RH-16s-2022	158	158.5	6.649267355	0.910387043	21.44732249
DT07-PM04-RH-16s-2022	137	137.5	6.300792859	0.887681654	21.81941165
DT08-PM04-RH-16s-2022	66	67	5.004546464	0.827964948	13.98907034
DT08-PM07-RH-16s-2022	79	79	4.809605082	0.762971505	18.45116831
DT10-PM05-RH-16s-2022	53	53.5	4.83644902	0.844363859	11.3190102
DT10-PM06-RH-16s-2022	81	81.125	4.773359632	0.752913654	18.70920094
DT10-PM09-RH-16s-2022	104	106.5	5.585382585	0.833584484	23.13452705
DT10-PM10-RH-16s-2022	141	142.1538462	5.744090688	0.804545048	28.03251479
NT10-PM05-RH-16s-2022	106	110.5	5.361278148	0.796870026	23.06528822
NT10-PM09-RH-16s-2022	84	85.25	5.185372781	0.81118825	17.74321203
DT01-PM01-S-16s-2021	156	157.2	6.746352081	0.926009557	19.84962931
DT01-PM02-S-16s-2021	121	123.5454545	5.246386655	0.758272924	26.59997269
DT01-PM03-S-16s-2021	140	146.1111111	6.270381982	0.879524907	24.8965955
DT01-PM04-S-16s-2021	88	88.375	5.541362346	0.857871508	17.88130351
DT01-PM05-S-16s-2021	148	151.6	6.178319678	0.856974775	29.87210912
DT01-PM07-S-16s-2021	129	129.5	6.399938	0.912812803	17.89289635
DT01-PM08-S-16s-2021	120	121.2	5.998155268	0.868430618	21.87222174
DT01-PM09-S-16s-2021	220	221.9090909	7.186429595	0.923544195	28.46318614
DT02-PM01-S-16s-2021	331	340.75	7.893948541	0.943046629	35.84974866
DT02-PM02-S-16s-2021	189	195.4285714	6.980289217	0.923044889	26.0869597
DT02-PM03-S-16s-2021	283	290.3333333	7.624672501	0.936156223	31.28163813
DT02-PM04-S-16s-2021	118	118.2	6.398632265	0.929676611	14.78672485
DT02-PM05-S-16s-2021	270	276.3157895	7.359259563	0.911158547	43.29320372
DT04-PM01-S-16s-2021	238	246.25	7.366158463	0.933037175	27.47948308
DT04-PM02-S-16s-2021	227	229.1176471	7.108070443	0.908199886	36.77337378
DT04-PM03-S-16s-2021	222	228.875	7.13149255	0.914948942	30.10092787
DT04-PM04-S-16s-2021	185	206	6.725399688	0.892983541	33.57295626
DT04-PM05-S-16s-2021	161	161.1666667	6.794895835	0.926882128	23.68377865
DT04-PM06-S-16s-2021	194	195.2352941	6.848460494	0.901123557	30.84233891
DT04-PM07-S-16s-2021	295	304.0357143	7.47162687	0.910666352	45.13158552
DT04-PM08-S-16s-2021	203	206.2142857	6.878603057	0.897364855	31.95823892
DT04-PM09-S-16s-2021	171	173.5454545	6.731840137	0.907518736	27.36035802
DT04-PM10-S-16s-2021	255	265.5555556	7.215410722	0.902563388	39.06989384
NT02-PM01-S-16s-2021	86	86	5.898389098	0.917856535	14.98694996
NT02-PM02-S-16s-2021	99	99	5.874891928	0.886193377	19.53373067
NT02-PM03-S-16s-2021	88	88.11111111	5.851721931	0.905919015	14.83887867
NT02-PM04-S-16s-2021	214	217.5	7.112567454	0.918762228	21.63956653
NT02-PM05-S-16s-2021	330	333	7.863061301	0.939846817	28.96992744
NT02-PM06-S-16s-2021	513	522.4864865	8.413830232	0.934577709	29.70088842
NT02-PM09-S-16s-2021	162	164.3333333	6.636082213	0.90411687	25.39082711
NT02-PM10-S-16s-2021	99	99	6.167096823	0.93027079	14.12206571
NT04-PM01-S-16s-2021	288	288.75	7.660681682	0.937668544	24.86831215
NT04-PM02-S-16s-2021	232	233.25	7.309933673	0.930255962	21.0102599
NT04-PM03-S-16s-2021	141	142.5	6.314092749	0.884382286	25.54918689
NT04-PM04-S-16s-2021	285	285.6	7.701551774	0.944417358	24.74833209
NT04-PM05-S-16s-2021	251	256	7.387985952	0.926794905	29.40799362
NT04-PM06-S-16s-2021	366	371.5263158	7.976276581	0.93665544	38.44058495
NT04-PM08-S-16s-2021	270	275.1428571	7.619265022	0.943350127	26.91500835
NT04-PM09-S-16s-2021	170	171.5	6.76217649	0.91264944	25.64060856
NT04-PM10-S-16s-2021	176	181.1428571	6.964592902	0.933662678	23.01490746
NT05-PM09-S-16s-2022	79	81	5.634786685	0.893874154	11.1729744
NT06-PM01-S-16s-2022	78	78	5.813607515	0.924938025	12.41013045
NT06-PM02-S-16s-2022	105	105.3	5.507192957	0.820225138	22.25665087
NT06-PM03-S-16s-2022	123	124.5	6.237315046	0.898423048	18.90197714
NT06-PM04-S-16s-2022	97	98.66666667	5.411299917	0.819904754	20.31122181
NT06-PM05-S-16s-2022	123	125.3333333	5.850951634	0.842771251	24.59224449
NT06-PM06-S-16s-2022	103	103	6.189782955	0.925713373	16.33940262
NT06-PM07-S-16s-2022	194	196	6.672089737	0.877916612	33.33556426
NT06-PM08-S-16s-2022	188	191	6.406966554	0.848089377	32.53339825
NT06-PM09-S-16s-2022	111	112.6666667	5.623734584	0.827699495	21.56790715
NT07-PM01-S-16s-2022	191	197.6666667	6.2058656	0.818993585	39.09848497
NT07-PM02-S-16s-2022	179	184.5714286	5.853338891	0.782132947	38.22664009
NT07-PM04-S-16s-2022	258	261.6666667	7.299783172	0.91119412	33.56833962
NT07-PM05-S-16s-2022	166	171.8333333	5.779005259	0.783589744	34.01860068
NT07-PM06-S-16s-2022	207	214.4347826	6.469388695	0.840891618	42.47905268
NT07-PM07-S-16s-2022	164	166.1538462	6.266646224	0.85172979	32.21749597
